date,runup,drawdown,z
2020-05-22,0.00199063668571951,0.038667256000082285,0.048960645872693324
2020-05-25,0.0031212051221296004,0.03753668756367209,0.0767675084945947
2020-05-26,0.013847890385419828,0.02681000230038189,0.34059537941216755
2020-05-27,0.015127427069001564,0.02553046561680011,0.3720661861622819
2020-05-28,0.016491220278982973,0.024166672406818582,0.4056093218215905
2020-05-29,0.017072010712996053,0.02358588197280567,0.41989413580595697
2020-06-01,0.03609974673382776,0.0045581459519737876,0.8878902557198797
2020-06-02,0.043151705856985405,0.0,1.0
2020-06-03,0.04356502874218396,0.0,1.0
2020-06-04,0.04439510219970906,0.0,1.0
2020-06-05,0.04469054610237943,0.0,1.0
2020-06-08,0.04532447102831309,0.0,1.0
2020-06-09,0.04940189578891621,0.0,1.0
2020-06-10,0.04436752298135759,0.005034372807558644,0.8980935300728246
2020-06-11,0.03852568136634429,0.010876214422571773,0.7798421649840412
2020-06-12,0.03851617005739782,0.010885725731518322,0.7796496357542486
2020-06-15,0.03403740410347289,0.015364491685443484,0.688989836521808
2020-06-16,0.045855713404198035,0.0035461823847182834,0.9282176862226025
2020-06-17,0.04778548526425943,0.0016164105246568475,0.9672803948341695
2020-06-18,0.049035686043879735,0.0003662097450364661,0.9925871317448787
2020-06-19,0.05233926358806684,0.0,1.0
2020-06-22,0.05023105723919267,0.0021082063488743713,0.9597203666167932
2020-06-23,0.046087797405486595,0.006251466182580288,0.8805587668985546
2020-06-24,0.045975302395858945,0.006363961192207908,0.8784094242843175
2020-06-29,0.039501694651690684,0.012837568936376163,0.754723928914753
2020-06-30,0.04682933846639458,0.0035192884359529063,0.9301016005306627
2020-07-01,0.05893261780805853,0.0,1.0
2020-07-02,0.08100176325719635,0.0,1.0
2020-07-03,0.10140283910789485,0.0,1.0
2020-07-06,0.1567241751053503,0.0,1.0
2020-07-07,0.15383694125254782,0.002887233852802586,0.9815776101494119
2020-07-08,0.17023049314631955,0.0,1.0
2020-07-09,0.18388793453067356,0.0,1.0
2020-07-10,0.16613512538165257,0.017752809149021026,0.9034585428656291
2020-07-13,0.18817772286266735,0.0,1.0
2020-07-14,0.18315303785526882,0.005024685007398405,0.9732981942232054
2020-07-15,0.1610730462998745,0.02710467656279263,0.8559623522356377
2020-07-16,0.13201943836686478,0.05615828449580247,0.7015678389477218
2020-07-17,0.1296327068489279,0.05854501601373932,0.6888844485780834
2020-07-20,0.16597357966734577,0.022204143195321515,0.8820044006403129
2020-07-21,0.16291777421626377,0.024129380209993168,0.8709984106200015
2020-07-22,0.15190777614513043,0.024412693017836405,0.8615436248909217
2020-07-23,0.14417127833933083,0.030869654140054263,0.8236432261711708
2020-07-24,0.11173081356238743,0.061946325707016046,0.6433248154155365
2020-07-27,0.10998490166843258,0.06311144716695805,0.6353970052425825
2020-07-28,0.09844708904326048,0.05768386640165333,0.6305417702897144
2020-07-29,0.11519265941140754,0.040938296033506356,0.737795135392288
2020-07-30,0.11624577593554569,0.039885179509368256,0.7445402201266837
2020-07-31,0.1231039063301797,0.03302704911473431,0.7884657208391523
2020-08-03,0.1447626627241877,0.011368292720726243,0.9271874517879499
2020-08-04,0.1477527012594306,0.008378254185483288,0.9463382891521515
2020-08-05,0.14757274025965308,0.008558215185260964,0.9451856605829813
2020-08-06,0.1483102373489287,0.007820718095985155,0.9499092407799653
2020-08-07,0.13774261595582596,0.01838833948908798,0.8822248961668864
2020-08-10,0.15064206301199395,0.005488892432919908,0.9648443038263702
2020-08-11,0.13660495901053196,0.01952599643438196,0.874938340198199
2020-08-12,0.13426940467488183,0.016397260221814328,0.8911686255678585
2020-08-13,0.14062907001104896,0.010037594885647181,0.9333787942241277
2020-08-14,0.14573849154075877,0.0049281733559371705,0.9672908844214733
2020-08-17,0.16601899005217494,0.0,1.0
2020-08-18,0.16850890057443138,0.0,1.0
2020-08-19,0.16063552640311887,0.007873374171312541,0.9532762118530658
2020-08-20,0.14836673251260324,0.020142168061828294,0.880468224567572
2020-08-21,0.15380357089719052,0.014705329677240956,0.9127326234572072
2020-08-24,0.1443107853168346,0.014879834757173532,0.9065281939962553
2020-08-25,0.1275893869458993,0.019497953786444762,0.8674396199607325
2020-08-26,0.09148117965226031,0.03353701563094605,0.731742923060328
2020-08-27,0.07810263071569028,0.02651448871681755,0.7465568841825837
2020-08-28,0.06325923103910312,0.017694451805590188,0.7814249928624452
2020-08-31,0.06146459775682529,0.019489085087868015,0.75925635001366
2020-09-01,0.0650839571902188,0.015869725654474722,0.8039653651715861
2020-09-02,0.06676557840817117,0.014188104436522362,0.8247379990884208
2020-09-03,0.05951021975963679,0.021443463085056767,0.7351144218330968
2020-09-04,0.059823231695601574,0.02113045114909207,0.7389809776828808
2020-09-07,0.05560575055371912,0.02534793229097414,0.6868835190660413
2020-09-08,0.07377934047206446,0.007174342372629045,0.9113771959406376
2020-09-09,0.06029802999210478,0.02065565285258877,0.7448460387871936
2020-09-10,0.03198607412521396,0.0489676087194795,0.3951157378050116
2020-09-11,0.03860313540679806,0.04235054743789542,0.47685459203698843
2020-09-14,0.047096286684745664,0.033857396159947706,0.5817683029331493
2020-09-15,0.04871098319090034,0.0322426996537932,0.6017142331171078
2020-09-16,0.04876418576108074,0.03218949708361271,0.6023714307678005
2020-09-17,0.04801840063910528,0.03293528220558834,0.5931589391828738
2020-09-18,0.06345056849188233,0.01750311435281117,0.7837885351505228
2020-09-21,0.05420976919428225,0.02131633288510647,0.7177620412251653
2020-09-22,0.022418834524785006,0.036361697186456744,0.3813989746625142
2020-09-23,0.022609644141209733,0.03511777104589387,0.3916621603085524
2020-09-24,0.0,0.05772812398344339,0.0
2020-09-25,0.0,0.061610642175356604,0.0
2020-09-28,0.0,0.06780536583111883,0.0
2020-09-29,0.00021262209295235915,0.06759274373816629,0.003135770898750585
2020-09-30,0.0,0.07075738955755669,0.0
2020-10-09,0.018957047313845836,0.051800342243710724,0.2679161488628054
2020-10-12,0.041962162863152276,0.02879522669440447,0.5930428344734038
2020-10-13,0.039690704455316916,0.031066685102239543,0.5609407682151862
2020-10-14,0.0338168850311541,0.036940504526402504,0.4779272559743916
2020-10-15,0.03348152320697552,0.03727586635058117,0.473187654552185
2020-10-16,0.038840770255061136,0.03191661930249532,0.5489288185718997
2020-10-19,0.03688061504143264,0.03387677451612407,0.5212263379421673
2020-10-20,0.038958188409562396,0.03179920114799423,0.5505882658075224
2020-10-21,0.03665842919555664,0.026924617989370986,0.5765440761110066
2020-10-22,0.03407024122111598,0.029512805963811718,0.5358384464026175
2020-10-23,0.03034465086909808,0.033238396315829435,0.47724436327882275
2020-10-26,0.025670508529839365,0.03791253865508824,0.4037319642007433
2020-10-27,0.022333456478012874,0.041249590706914877,0.3512486026826815
2020-10-28,0.020890029895902766,0.04269301728902487,0.3285471650194008
2020-10-29,0.01930013227089292,0.044282914914034646,0.30354210949908733
2020-10-30,0.0013612937620157944,0.06222175342291184,0.021409696802617055
2020-11-02,0.001433719779050376,0.06214932740587727,0.02254877428067397
2020-11-03,0.015891538773025893,0.047691508411901784,0.24993358256024215
2020-11-04,0.016996317689464215,0.04658672949546332,0.26730895170895835
2020-11-05,0.029909859771006558,0.03367318741392109,0.47040620252149046
2020-11-06,0.02827421705053668,0.03530883013439085,0.44468169272074665
2020-11-09,0.04286173595355641,0.020721311231371276,0.6741063514759758
2020-11-10,0.03955956759518055,0.024023479589747168,0.6221716219438771
2020-11-11,0.04070815607876905,0.01254611912597633,0.7644110434750905
2020-11-12,0.039756956540384025,0.01349731866436131,0.7465495753633202
2020-11-13,0.03392309420710175,0.019331180997643593,0.6370022702717951
2020-11-16,0.0498387467950922,0.003415528409653353,0.9358637706264569
2020-11-17,0.05269718388797667,0.0005570913167687719,0.9895390310988754
2020-11-18,0.05974144327492744,0.0,1.0
2020-11-19,0.059213674149484856,0.0005277691254426122,0.9911657787875354
2020-11-20,0.06298785621587717,0.0,1.0
2020-11-23,0.07528653850188335,0.0,1.0
2020-11-24,0.07419301116118622,0.001093527340697039,0.9854751279251645
2020-11-25,0.06452397966650722,0.010762558835376145,0.8570453755805639
2020-11-26,0.06533219157371896,0.00995434692816426,0.8677805205785194
2020-11-27,0.07408699338543999,0.0011995451164433985,0.9840669375918594
2020-11-30,0.07107111903769003,0.004215419464193169,0.9440083240898673
2020-12-01,0.0848248512735216,0.0,1.0
2020-12-02,0.08581785417983508,0.0,1.0
2020-12-03,0.07977899514470313,0.004677565273116205,0.9446157261203205
2020-12-04,0.07496368786093964,0.00949287255687975,0.8876005308537659
2020-12-07,0.06485776573694224,0.01959879468087712,0.767942305678577
2020-12-08,0.06021569816174357,0.0242408622560758,0.7129783389691388
2020-12-09,0.0483585725590541,0.036097987858765064,0.5725851528858984
2020-12-10,0.046416908704847236,0.03803965171297207,0.5495950637252548
2020-12-11,0.034685696521507596,0.04977086389631186,0.4106927437005743
2020-12-14,0.03758308146258496,0.04687347895523419,0.44499895895186675
2020-12-15,0.033923471258136426,0.05053308915968295,0.40166768680031345
2020-12-16,0.027909274965840655,0.05654728545197864,0.33045715842285406
2020-12-17,0.03817204439738609,0.046284516020433285,0.45197251946495587
2020-12-18,0.03878204581709641,0.04567451460072307,0.45919518418978605
2020-12-21,0.043604771479731665,0.04085178893808773,0.5162982160771437
2020-12-22,0.023754745888585324,0.06070181452923402,0.28126584567340907
2020-12-23,0.03072132894841351,0.05373523146940584,0.36375302044542734
2020-12-24,0.020328710869793026,0.06412784954802617,0.24070019864915007
2020-12-25,0.031079970086496066,0.053304164314288596,0.3683153273680682
2020-12-28,0.015377807945404578,0.0545485074614047,0.21991446075688864
2020-12-29,0.0071164162933545945,0.06170512019701607,0.10340391476656882
2020-12-30,0.006787331022891532,0.05734051852513461,0.10584061481444838
2020-12-31,0.015605086924461142,0.04852276262356502,0.24334336851221391
2021-01-04,0.017846094553231124,0.046281754994795074,0.2782893029941063
2021-01-05,0.011185777072105722,0.052942072475920345,0.17442931816587062
2021-01-06,0.00950556492563068,0.0546222846223955,0.14822834373249705
2021-01-07,0.0,0.06979627804915482,0.0
2021-01-08,0.0040136437184377875,0.06578263433071692,0.057505125353692066
2021-01-11,0.0,0.0829911340014059,0.0
2021-01-12,0.008280569618021262,0.07471056438338457,0.09977655707031301
