date,000312.OF,002236.OF,003194.OF,004195.OF,004409.OF,004744.OF,005562.OF,164304.OF,690008.OF,,-0.325910697,0.463554316
2016/5/24,-0.320940798,,,,,,,-0.223632296,-0.145947214,,,
2016/5/25,-0.320407495,,,,,,,-0.216078151,-0.137233363,,,
2016/5/26,-0.325781939,,,,,,,-0.204680095,-0.038649552,,,
2016/5/27,-0.327454791,,,,,,,-0.206110265,-0.017953222,,,
2016/5/30,-0.330162362,,,,,,,-0.225218707,-0.009837693,,,
2016/5/31,-0.325441459,,,,,,,-0.231061399,0.003454427,,,
2016/6/1,-0.326975739,,,,,,,-0.232503076,-0.000955515,,,
2016/6/2,-0.325447542,,,,,,,-0.232294648,0.001870969,,,
2016/6/3,-0.295715874,,,,,,,-0.240775018,-0.050321316,,,
2016/6/6,-0.283795899,,,,,,,-0.241133079,-0.100360438,,,
2016/6/7,-0.281365005,,,,,,,-0.239932596,-0.105703478,,,
2016/6/8,-0.283113892,,,,,,,-0.243005406,-0.104169066,,,
2016/6/13,-0.283071217,,,,,,,-0.246569931,-0.153545699,,,
2016/6/14,-0.289743109,,,,,,,-0.247295498,-0.200614188,,,
2016/6/15,-0.303870463,,,,,,,-0.246746177,-0.179244265,,,
2016/6/16,-0.306196812,,,,,,,-0.247323349,-0.186688323,,,
2016/6/17,-0.303800701,,,,,,,-0.269352342,-0.196736584,,,
2016/6/20,-0.308498048,,,,,,,-0.201476986,-0.246078032,,,
2016/6/21,-0.31191259,,,,,,,-0.153993264,-0.263156724,,,
2016/6/22,-0.313812425,,,,,,,-0.13587004,-0.233657485,,,
2016/6/23,-0.315629332,,,,,,,-0.138991471,-0.230468625,,,
2016/6/24,-0.313842408,,,,,,,-0.119638824,-0.247981226,,,
2016/6/27,-0.316739746,,,,,,,-0.096611779,-0.275719363,,,
2016/6/28,-0.318309646,,,,,,,-0.08566372,-0.262011545,,,
2016/6/29,-0.317985459,,,,,,,-0.081759488,-0.278688358,,,
2016/6/30,-0.317077514,,,,,,,-0.070909991,-0.325279343,,,
2016/7/1,-0.317119632,,,,,,,-0.070386314,-0.328782541,,,
2016/7/4,-0.31670106,,,,,,,-0.064917693,-0.31635462,,,
2016/7/5,-0.304494529,,,,,,,-0.08450526,-0.212716414,,,
2016/7/6,-0.285444852,,,,,,,-0.152090401,-0.084141973,,,
2016/7/7,-0.287074651,,,,,,,-0.165006916,-0.102929462,,,
2016/7/8,-0.284847061,,,,,,,-0.154095561,-0.015410939,,,
2016/7/11,-0.291436617,,,,,,,-0.148552922,0.015439922,,,
2016/7/12,-0.26596774,,,,,,,-0.164003873,-0.081817639,,,
2016/7/13,-0.26764123,,,,,,,-0.201051007,-0.094007033,,,
2016/7/14,-0.274008501,,,,,,,-0.209811662,-0.1106971,,,
2016/7/15,-0.263536975,,,,,,,-0.17453521,-0.095261064,,,
2016/7/18,-0.259238078,,,,,,,-0.157986539,-0.08999133,,,
2016/7/19,-0.251541506,,,,,,,-0.157555232,-0.115726255,,,
2016/7/20,-0.244405166,,,,,,,-0.168944068,-0.130987807,,,
2016/7/21,-0.245657122,,,,,,,-0.160628576,-0.131858527,,,
2016/7/22,-0.235203363,,,,,,,-0.156713098,-0.141218531,,,
2016/7/25,-0.227525635,,,,,,,-0.142033489,-0.166565645,,,
2016/7/26,-0.227577257,,,,,,,-0.145141465,-0.137179648,,,
2016/7/27,-0.234309376,,,,,,,-0.122838591,-0.065577899,,,
2016/7/28,-0.244050357,,,,,,,-0.101768131,-0.045602557,,,
2016/7/29,-0.254448831,,,,,,,-0.100653257,-0.040139054,,,
2016/8/1,-0.254493215,,,,,,,-0.10066136,-0.038472481,,,
2016/8/2,-0.254230315,,,,,,,-0.100553723,-0.032506072,,,
2016/8/3,-0.251206561,,,,,,,-0.096181473,-0.028067894,,,
2016/8/4,-0.250632032,,,,,,,-0.097935621,-0.029572138,,,
2016/8/5,-0.248460576,,,,,,,-0.104187683,-0.034876465,,,
2016/8/8,-0.247837599,,,,,,,-0.104231222,-0.034598685,,,
2016/8/9,-0.241851259,,,,,,,-0.097015719,-0.020854697,,,
2016/8/10,-0.241634463,,,,,,,-0.084717267,-0.075278572,,,
2016/8/11,-0.241249351,,,,,,,-0.084731969,-0.068720298,,,
2016/8/12,-0.239475956,,,,,,,-0.06751274,-0.080490057,,,
2016/8/15,-0.22963033,,,,,,,-0.052010233,-0.084270018,,,
2016/8/16,-0.224886019,,,,,,,-0.09027384,-0.142160911,,,
2016/8/17,-0.210723251,,,,,,,-0.112042204,-0.181854313,,,
2016/8/18,-0.207599255,,,,,,,-0.113574126,-0.177537682,,,
2016/8/19,-0.207279369,,,,,,,-0.11471628,-0.178685069,,,
2016/8/22,-0.196317389,,,,,,,-0.126628804,-0.184704323,,,
2016/8/23,-0.203982539,,,,,,,-0.115146307,-0.189974524,,,
2016/8/24,-0.204005503,,,,,,,-0.114741747,-0.205797973,,,
2016/8/25,-0.203177405,,,,,,,-0.114786199,-0.205182231,,,
2016/8/26,-0.200072195,,,,,,,-0.121510728,-0.210905111,,,
2016/8/29,-0.199839251,,,,,,,-0.121985513,-0.20491405,,,
2016/8/30,-0.200695551,,,,,,,-0.13105243,-0.194524088,,,
2016/8/31,-0.202460704,,,,,,,-0.132755069,-0.195465514,,,
2016/9/1,-0.203471876,,,,,,,-0.12252547,-0.193006772,,,
2016/9/2,-0.202549725,,,,,,,-0.107392643,-0.180748411,,,
2016/9/5,-0.20439122,,,,,,,-0.105166639,-0.17400005,,,
2016/9/6,-0.211952052,,,,,,,-0.150377611,-0.150680807,,,
2016/9/7,-0.209615466,,,,,,,-0.139549849,-0.141024309,,,
2016/9/8,-0.185435184,,,,,,,-0.16532069,-0.127726327,,,
2016/9/9,-0.155394955,,,,,,,-0.120228506,-0.150956339,,,
2016/9/12,-0.148232837,,,,,,,-0.108583859,-0.172268423,,,
2016/9/13,-0.158977637,,,,,,,-0.144311439,-0.154416199,,,
2016/9/14,-0.167193173,,,,,,,-0.150658088,-0.183642823,,,
2016/9/19,-0.135605982,,,,,,,-0.124568841,-0.217362599,,,
2016/9/20,-0.137194564,,,,,,,-0.088002913,-0.226999339,,,
2016/9/21,-0.135150706,,,,,,,-0.08753329,-0.223581925,,,
2016/9/22,-0.151608469,,,,,,,-0.078678581,-0.245858187,,,
2016/9/23,-0.147280532,,,,,,,-0.094059372,-0.258289541,,,
2016/9/26,-0.144887649,,,,,,,-0.092968506,-0.266391509,,,
2016/9/27,-0.128294263,,,,,,,-0.113398478,-0.27594597,,,
2016/9/28,-0.133950865,,,,,,,-0.112939944,-0.278030997,,,
2016/9/29,-0.136299541,,,,,,,-0.113148877,-0.294063465,,,
2016/9/30,-0.134559629,,,,,,,-0.109719761,-0.294848017,,,
2016/10/10,-0.134535598,,,,,,,-0.109992859,-0.294080709,,,
2016/10/11,-0.129009332,,,,,,,-0.105603275,-0.315047274,,,
2016/10/12,-0.112994644,,,,,,,-0.101617151,-0.33049438,,,
2016/10/13,-0.096225008,,,,,,,-0.130329298,-0.281193852,,,
2016/10/14,-0.115164478,,,,,,,-0.143995785,-0.265137972,,,
2016/10/17,-0.094252179,,,,,,,-0.148345438,-0.206804513,,,
2016/10/18,-0.089505559,,,,,,,-0.149675716,-0.131925358,,,
2016/10/19,-0.087978358,,,,,,,-0.15810181,-0.11741444,,,
2016/10/20,-0.088071128,,,,,,,-0.158847013,-0.1162955,,,
2016/10/21,-0.075003506,,,,,,,-0.147603429,-0.10209582,,,
2016/10/24,-0.062397373,,,,,,,-0.145336808,0.01149569,,,
2016/10/25,-0.046329263,,,,,,,-0.155096326,0.024067027,,,
2016/10/26,-0.041097391,,,,,,,-0.149312293,0.116547483,,,
2016/10/27,-0.036332832,,,,,,,-0.16500966,0.103223566,,,
2016/10/28,-0.042730434,,,,,,,-0.161186225,0.187886089,,,
2016/10/31,-0.048948592,,,,,,,-0.155342418,0.188154476,,,
2016/11/1,-0.056540055,,,,,,,-0.148438493,0.16320329,,,
2016/11/2,-0.058260953,,,,,,,-0.143949108,0.149443919,,,
2016/11/3,0.006704333,,,,,,,-0.167217939,0.287233523,,,
2016/11/4,0.03555155,,,,,,,-0.160548885,0.348298101,,,
2016/11/7,0.038436333,,,,,,,-0.164730303,0.319357565,,,
2016/11/8,0.038315831,,,,,,,-0.166633508,0.299998153,,,
2016/11/9,0.037031297,,,,,,,-0.166852086,0.297186215,,,
2016/11/10,0.029244146,,,,,,,-0.168237047,0.307368437,,,
2016/11/11,0.025513245,,,,,,,-0.18675471,0.104343808,,,
2016/11/14,0.022428735,,,,,,,-0.182783651,0.070188139,,,
2016/11/15,0.038736288,,,,,,,-0.207011946,-0.026310017,,,
2016/11/16,0.035439297,,,,,,,-0.204355557,-0.020755072,,,
2016/11/17,0.030458438,,,,,,,-0.199505255,-0.003277669,,,
2016/11/18,0.022076401,,,,,,,-0.20973717,-0.041447336,,,
2016/11/21,0.013823195,,,,,,,-0.203516978,-0.050454611,,,
2016/11/22,0.013628568,,,,,,,-0.203530514,-0.048814439,,,
2016/11/23,0.009456469,,,,,,,-0.210297427,-0.007221886,,,
2016/11/24,0.034974407,,,,,,,-0.203669242,0.034656667,,,
2016/11/25,0.03457796,,,,,,,-0.20444762,0.027165947,,,
2016/11/28,0.091432679,,,,,,,-0.206584876,-0.123429935,,,
2016/11/29,0.082714914,,,,,,,-0.197311922,-0.196804166,,,
2016/11/30,0.08472399,,,,,,,-0.206808795,-0.212623722,,,
2016/12/1,0.08599539,,,,,,,-0.206477175,-0.225084603,,,
2016/12/2,0.087979873,,,,,,,-0.223361629,-0.226322256,,,
2016/12/5,0.105922302,,,,,,,-0.224753453,-0.17277949,,,
2016/12/6,0.127995566,,,,,,,-0.193441859,-0.098302015,,,
